Country,State,Year,Type Of Areas,Gender,"Persons Working In Agriculture, Forestry And Fishing Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Mining And Quarrying Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Manufacturing Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Electricity, Gas, Steam And Air Conditioning Supply Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Water Supply, Sewerage, Waste Management And Remediation Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Construction Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Wholesale, Retail Trade, Repair Of Motor Vehicles And Motorcycles Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Transportation And Storage Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Accommodation And Food Service Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Information And Communication Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Financial And Insurance Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Real Estate Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Professional, Scientific And Technical Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Administrative And Support Service Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Public Administration And Defence, Compulsory Social Security Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Education Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Human Health And Social Work Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Arts, Entertainment And Recreation Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Other Service Activities Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Activities Of Households As Employers For Own Use Industry (UOM:%(Percentage)), Scaling Factor:1","Persons Working In Activities Of Extraterritorial Organizations And Bodies Industry (UOM:%(Percentage)), Scaling Factor:1"
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",Rural,Male,50.28,1.61,8.16,0.59,0.3,18.03,8.47,4.58,1.74,0.41,0.42,0.17,0.15,0.94,0.5,2.14,0.22,0.22,1.02,0.08,
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",Rural,Female,86.68,0.1,3.78,0,0.09,6.09,1.07,0.02,0.1,0,0.01,0,0,0.04,0.03,0.83,0.8,0,0.3,0.05,
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",Rural,Persons,65.97,0.96,6.27,0.33,0.21,12.88,5.28,2.61,1.03,0.23,0.25,0.1,0.08,0.55,0.3,1.58,0.47,0.13,0.71,0.06,
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",Urban,Male,3.78,0.84,25.88,0.7,1.51,13.65,21,6.51,3.6,1.29,3.78,0.5,1.65,2.02,2.96,3.63,2.26,0.68,3.36,0.4,
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",Urban,Female,20.4,0.68,27.45,0.8,0,5.63,6.11,0.79,1.21,0.8,1.49,0,0.43,0.24,1.83,14.96,5.58,0.17,8.79,2.65,
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",Urban,Persons,7.5,0.8,26.23,0.72,1.17,11.86,17.67,5.23,3.07,1.18,3.26,0.38,1.37,1.62,2.71,6.16,3.01,0.57,4.58,0.9,
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Male,38.93,1.42,12.48,0.62,0.59,16.96,11.52,5.05,2.19,0.62,1.24,0.25,0.51,1.2,1.1,2.5,0.72,0.34,1.59,0.16,
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Female,79.44,0.16,6.37,0.09,0.08,6.04,1.62,0.1,0.22,0.09,0.17,0,0.05,0.06,0.23,2.38,1.32,0.02,1.23,0.33,
India,Rajasthan,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Persons,54.79,0.93,10.09,0.41,0.39,12.69,7.65,3.11,1.42,0.41,0.82,0.15,0.33,0.75,0.76,2.45,0.96,0.21,1.45,0.23,
India,Sikkim,"PLFS Year (Jul - Jun), 2022",Rural,Male,37.38,0.38,2.36,4.29,0.09,14.73,4.39,9.05,1.82,0.02,0.24,0,0,0,17.07,5.71,0.06,0.3,2.11,0,
India,Sikkim,"PLFS Year (Jul - Jun), 2022",Rural,Female,73.82,0,1.2,0.13,0,1.66,5.29,0,2.17,0,0.09,0,0,0,9.19,3.09,3.26,0.09,0,0,
India,Sikkim,"PLFS Year (Jul - Jun), 2022",Rural,Persons,54.24,0.21,1.82,2.37,0.05,8.68,4.8,4.86,1.98,0.01,0.17,0,0,0,13.42,4.5,1.54,0.21,1.13,0,
India,Sikkim,"PLFS Year (Jul - Jun), 2022",Urban,Male,0.49,0,12.51,1.58,0,13.37,20.08,23.04,11,0.24,0.65,0,0.5,0.09,9.12,0.82,1.4,0,5.11,0,
India,Sikkim,"PLFS Year (Jul - Jun), 2022",Urban,Female,7.18,0,8.64,0.26,0,6.04,33.65,0,10.8,1.3,0,0,0.51,0,8.72,10.4,6.44,4.44,1.47,0.13,
India,Sikkim,"PLFS Year (Jul - Jun), 2022",Urban,Persons,2.15,0,11.56,1.25,0,11.56,23.43,17.35,10.95,0.5,0.49,0,0.5,0.07,9.02,3.18,2.64,1.1,4.21,0.03,
India,Sikkim,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Male,29.55,0.3,4.51,3.71,0.07,14.44,7.72,12.02,3.77,0.07,0.32,0,0.11,0.02,15.38,4.67,0.34,0.24,2.74,0,
India,Sikkim,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Female,67.61,0,1.89,0.15,0,2.07,7.93,0,2.97,0.12,0.08,0,0.05,0,9.15,3.77,3.56,0.5,0.14,0.01,
India,Sikkim,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Persons,45.84,0.17,3.39,2.19,0.04,9.15,7.81,6.88,3.43,0.09,0.22,0,0.08,0.01,12.71,4.29,1.72,0.35,1.63,0.01,
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",Rural,Male,34.53,0.49,13.95,0.57,0.21,21.18,9.54,7.62,3.12,0.88,1.31,0.33,0.3,0.45,1.23,1.75,0.78,0.17,1.48,0.11,
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",Rural,Female,51.53,0.05,12.02,0,0.44,21.92,4.87,0.12,1.6,0.5,0.31,0.14,0.49,0.31,0.34,3.3,1.44,0.02,0.26,0.35,
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",Rural,Persons,41.52,0.31,13.16,0.34,0.31,21.48,7.62,4.54,2.49,0.72,0.9,0.25,0.38,0.39,0.86,2.39,1.05,0.11,0.98,0.2,
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",Urban,Male,6.56,0.31,20.6,0.78,0.61,15.26,18.79,9.55,4.58,6.38,2.6,0.54,2.07,1.18,2.1,2.92,0.71,0.49,2.82,1.13,
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",Urban,Female,14.02,0.08,27.63,0.2,0.18,5.54,14.01,0.19,2.9,5.68,2.17,0.22,0.85,0.45,1.29,10.06,4.6,0.02,2.54,7.36,
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",Urban,Persons,8.64,0.24,22.56,0.62,0.49,12.55,17.45,6.94,4.11,6.19,2.48,0.45,1.73,0.97,1.88,4.91,1.8,0.36,2.74,2.87,
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Male,22.41,0.41,16.83,0.66,0.38,18.61,13.55,8.46,3.75,3.27,1.87,0.42,1.07,0.76,1.61,2.26,0.75,0.31,2.06,0.55,
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Female,40.35,0.06,16.67,0.06,0.37,17.03,7.59,0.14,1.99,2.04,0.87,0.16,0.6,0.36,0.62,5.31,2.38,0.02,0.94,2.44,
India,Tamil Nadu,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Persons,28.87,0.28,16.77,0.45,0.38,18.04,11.4,5.46,3.12,2.83,1.51,0.33,0.9,0.62,1.25,3.36,1.34,0.2,1.66,1.23,
India,Telangana,"PLFS Year (Jul - Jun), 2022",Rural,Male,60.8,0.34,5.51,0.08,0.38,8.97,6.99,7.01,0.55,0.76,0.17,0.3,0.56,0.32,2.93,1.1,1.17,0.06,1.98,0.02,
India,Telangana,"PLFS Year (Jul - Jun), 2022",Rural,Female,73.57,0,11.46,0,0,5.32,4.03,0.06,0.77,0.22,0.02,0,0,0,0.72,1.57,1.89,0,0.15,0.25,
India,Telangana,"PLFS Year (Jul - Jun), 2022",Rural,Persons,66.15,0.2,8,0.05,0.22,7.44,5.75,4.1,0.64,0.53,0.1,0.18,0.33,0.19,2,1.3,1.47,0.03,1.21,0.11,
India,Telangana,"PLFS Year (Jul - Jun), 2022",Urban,Male,2.39,1.44,12.46,0.99,0.48,11.51,20.22,10.7,4.4,13.92,2.28,2.37,1.28,1.41,3.93,3.08,2.81,0.31,2.09,1.94,
India,Telangana,"PLFS Year (Jul - Jun), 2022",Urban,Female,7.65,0.02,25.13,0.3,0.32,6.68,14.72,0.42,2.84,10.03,1.94,0,1.29,0.55,1.72,7.52,5.92,0.12,2.59,10.25,
India,Telangana,"PLFS Year (Jul - Jun), 2022",Urban,Persons,3.76,1.07,15.77,0.81,0.44,10.25,18.78,8.01,3.99,12.91,2.19,1.75,1.28,1.18,3.35,4.24,3.62,0.26,2.22,4.11,
India,Telangana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Male,40.1,0.73,7.97,0.4,0.42,9.87,11.68,8.32,1.91,5.42,0.91,1.03,0.81,0.71,3.28,1.8,1.75,0.15,2.02,0.7,
India,Telangana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Female,59.6,0,14.36,0.06,0.07,5.6,6.3,0.14,1.21,2.29,0.42,0,0.27,0.12,0.93,2.83,2.74,0.03,0.66,2.37,
India,Telangana,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Persons,47.34,0.46,10.34,0.28,0.29,8.29,9.68,5.28,1.65,4.26,0.73,0.65,0.61,0.49,2.41,2.18,2.12,0.1,1.52,1.32,
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",Rural,Male,22.53,0,46.73,1.31,0,3.54,5.31,5.97,4.3,0.09,0,0,1.13,2.11,0.43,2.17,0,0,2.35,2.04,
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",Rural,Female,77.75,0,12.16,0,0,1.54,0.58,0,0,0,0,0,0,0,0.13,7.04,0.8,0,0,0,
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",Rural,Persons,41.63,0,34.78,0.86,0,2.85,3.67,3.91,2.81,0.06,0,0,0.74,1.38,0.33,3.85,0.28,0,1.53,1.33,
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",Urban,Male,4.41,0,67.57,0.04,0,2.76,8.25,7.61,3.57,1.12,0,0.21,0.32,1.12,0.38,0.37,0.92,0,1.35,0,
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",Urban,Female,16.5,0,46.77,0,0,0,11.37,0,1.48,0,0,0,1.05,3.8,0.69,5.51,2.5,0,1.85,8.48,
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",Urban,Persons,6.43,0,64.09,0.04,0,2.3,8.77,6.34,3.22,0.94,0,0.18,0.44,1.57,0.43,1.23,1.18,0,1.43,1.42,
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Male,10.61,0,60.44,0.48,0,3.03,7.24,7.05,3.82,0.77,0,0.14,0.6,1.46,0.39,0.98,0.6,0,1.69,0.7,
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Female,51.87,0,26.78,0,0,0.89,5.14,0,0.62,0,0,0,0.44,1.6,0.37,6.39,1.52,0,0.78,3.58,
India,The Dadra and Nagar Haveli and Daman and Diu,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Persons,20.44,0,52.42,0.36,0,2.52,6.74,5.37,3.06,0.59,0,0.11,0.56,1.49,0.39,2.27,0.82,0,1.47,1.38,
India,Tripura,"PLFS Year (Jul - Jun), 2022",Rural,Male,35.7,0,1.86,0,0.02,20.07,18.73,11.06,0.66,0.4,0.55,0,0.25,2.26,2.66,4.21,0.22,0.29,1.07,0.01,
India,Tripura,"PLFS Year (Jul - Jun), 2022",Rural,Female,51.89,0.04,3.55,0,0.02,22.64,3.34,0,0.62,0.01,0.21,0,0,0.95,0.19,10.61,1.84,0.14,0.1,3.85,
India,Tripura,"PLFS Year (Jul - Jun), 2022",Rural,Persons,41,0.01,2.41,0,0.02,20.91,13.7,7.44,0.65,0.27,0.43,0,0.17,1.83,1.85,6.3,0.75,0.24,0.75,1.27,
India,Tripura,"PLFS Year (Jul - Jun), 2022",Urban,Male,4.09,0.03,5.22,0,0.14,17.42,30.16,15.59,3.64,1.52,1.38,0,1.26,4.6,5.1,6.89,1.11,0.15,1.7,0,
India,Tripura,"PLFS Year (Jul - Jun), 2022",Urban,Female,15.74,0,10.77,0,0.17,21.6,7.04,0.24,3.35,0.23,0.73,0.69,1.26,2.31,5.85,15.14,3.07,0.67,3.5,7.64,
India,Tripura,"PLFS Year (Jul - Jun), 2022",Urban,Persons,7.38,0.02,6.78,0,0.15,18.6,23.64,11.26,3.56,1.15,1.2,0.19,1.26,3.95,5.31,9.22,1.66,0.3,2.21,2.15,
India,Tripura,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Male,30.31,0.01,2.43,0,0.04,19.62,20.69,11.83,1.17,0.59,0.69,0,0.42,2.66,3.08,4.67,0.37,0.27,1.18,0.01,
India,Tripura,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Female,46.74,0.03,4.58,0,0.04,22.49,3.87,0.03,1.01,0.04,0.28,0.1,0.18,1.15,1,11.25,2.01,0.21,0.58,4.39,
India,Tripura,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Persons,35.57,0.01,3.12,0,0.04,20.54,15.3,8.05,1.12,0.41,0.56,0.03,0.34,2.17,2.41,6.78,0.9,0.25,0.99,1.41,
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,Male,53.37,0.1,7.42,0.06,0.18,19.62,9.04,2.72,1.19,0.14,0.18,0.02,0.34,0.61,0.74,1.62,0.76,0.24,1.47,0.18,
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,Female,86.23,0.03,4.81,0.03,0.02,0.71,2.91,0,0.35,0,0.01,0,0,0.05,0.24,3.13,1.05,0,0.35,0.07,
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",Rural,Persons,63.64,0.08,6.6,0.05,0.13,13.71,7.13,1.87,0.93,0.1,0.12,0.02,0.23,0.44,0.58,2.09,0.85,0.17,1.12,0.15,
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,Male,5.05,0.04,21.09,0.69,0.83,11.33,29.36,8.7,2.84,1.07,1.76,0.89,1.78,1.55,2.7,3.01,1.51,0.54,4.42,0.83,
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,Female,18.04,0,29.82,0,0.74,1.08,12.17,0.44,2.52,1.52,1.68,0.17,0.98,0.36,2.14,15.16,2.79,0,4.83,5.55,
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",Urban,Persons,6.93,0.03,22.36,0.59,0.82,9.84,26.87,7.51,2.79,1.13,1.75,0.78,1.67,1.38,2.62,4.77,1.69,0.46,4.48,1.51,
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Male,43.87,0.09,10.11,0.18,0.31,17.99,13.04,3.89,1.51,0.33,0.49,0.19,0.62,0.8,1.12,1.89,0.91,0.3,2.05,0.31,
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Female,80.52,0.03,6.9,0.03,0.08,0.74,3.68,0.04,0.53,0.13,0.15,0.01,0.08,0.07,0.4,4.14,1.2,0,0.73,0.53,
India,Uttar Pradesh,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Persons,54.31,0.07,9.2,0.14,0.24,13.08,10.37,2.79,1.23,0.27,0.39,0.14,0.47,0.59,0.92,2.53,0.99,0.22,1.68,0.37,
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",Rural,Male,41.91,0.02,9.94,0,0.61,15.9,11.76,5.57,3.69,0.21,0.07,0.39,0.26,1.4,1.43,3.47,1.08,0.04,2.21,0.04,
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",Rural,Female,82.45,0,3.06,0.12,0,1.06,3.77,0.04,0.11,0,0,0,0,0.08,0.1,6.3,1.47,0,1.22,0.23,
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",Rural,Persons,57.97,0.01,7.22,0.05,0.37,10.02,8.59,3.38,2.27,0.13,0.04,0.24,0.16,0.87,0.9,4.59,1.24,0.02,1.82,0.11,
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",Urban,Male,5.09,0,21.59,0.39,2.79,14.1,24.37,5.6,5.74,1.1,0.72,0.69,1.73,2.4,3.25,4.09,1.9,0.76,2.95,0.72,
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",Urban,Female,15.08,0,11.81,0,2.02,0.1,14.98,0,4.96,0.37,0.82,0,3.77,4.23,2.61,25.41,2.94,1.93,5.62,3.34,
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",Urban,Persons,6.75,0,19.97,0.33,2.66,11.78,22.81,4.67,5.61,0.98,0.74,0.57,2.07,2.71,3.14,7.63,2.07,0.95,3.4,1.16,
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Male,32.16,0.02,13.03,0.1,1.19,15.43,15.1,5.58,4.23,0.45,0.24,0.47,0.65,1.66,1.91,3.64,1.3,0.23,2.4,0.22,
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Female,75.8,0,3.93,0.11,0.2,0.97,4.88,0.03,0.58,0.04,0.08,0,0.37,0.49,0.35,8.18,1.62,0.19,1.66,0.54,
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Persons,47.37,0.01,9.86,0.1,0.84,10.39,11.54,3.65,2.96,0.31,0.18,0.31,0.55,1.25,1.37,5.22,1.41,0.22,2.14,0.33,
India,West Bengal,"PLFS Year (Jul - Jun), 2022",Rural,Male,41.47,0.25,12.87,0.27,0.24,17.98,10.82,6.69,1.85,0.23,0.57,0.03,0.17,1.08,0.87,1.85,0.3,0.22,1.93,0.3,
India,West Bengal,"PLFS Year (Jul - Jun), 2022",Rural,Female,54.88,0.13,26.36,0,0.13,0.68,4.05,0.33,1.68,0.02,0.07,0,0.05,0.08,0.48,5.37,0.74,0,1.73,3.22,
India,West Bengal,"PLFS Year (Jul - Jun), 2022",Rural,Persons,45.6,0.21,17.03,0.19,0.2,12.65,8.74,4.74,1.8,0.17,0.41,0.02,0.14,0.77,0.75,2.93,0.43,0.15,1.87,1.2,
India,West Bengal,"PLFS Year (Jul - Jun), 2022",Urban,Male,2.48,0.29,21.9,0.41,0.33,11.82,24.03,9.92,4.48,3.35,2.73,0.65,1.8,2.38,3,3.39,1.4,0.73,2.6,2.29,
India,West Bengal,"PLFS Year (Jul - Jun), 2022",Urban,Female,5.08,0.17,27.85,0.14,0.06,0.82,11.59,0.09,3.39,4.1,1.26,0.16,0.57,0.7,1.44,12.49,4.2,0.49,3.77,21.64,
India,West Bengal,"PLFS Year (Jul - Jun), 2022",Urban,Persons,3.15,0.26,23.44,0.34,0.26,8.97,20.8,7.37,4.2,3.55,2.35,0.52,1.48,1.94,2.6,5.75,2.13,0.67,2.9,7.32,
India,West Bengal,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Male,30.45,0.26,15.42,0.31,0.26,16.24,14.56,7.61,2.6,1.12,1.18,0.2,0.63,1.45,1.48,2.28,0.61,0.36,2.12,0.86,
India,West Bengal,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Female,43.07,0.14,26.71,0.03,0.11,0.71,5.84,0.27,2.08,0.99,0.35,0.04,0.17,0.23,0.71,7.06,1.56,0.12,2.21,7.59,
India,West Bengal,"PLFS Year (Jul - Jun), 2022",Rural + Urban,Persons,34.17,0.22,18.75,0.23,0.22,11.66,11.99,5.44,2.45,1.08,0.93,0.16,0.5,1.09,1.25,3.69,0.89,0.29,2.15,2.85,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",Rural,Male,43.87,0,1.48,0.27,0.84,26.67,5.07,8.39,0.67,0,0.26,0,0,4.21,4.83,2.17,0.22,0,0.53,0.52,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",Rural,Female,68.76,0,1.6,0,0,3.18,6.27,0,0,0,0,0,3.68,0,0.35,3.99,7.6,0,1.64,2.94,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",Rural,Persons,52.82,0,1.52,0.17,0.54,18.22,5.5,5.37,0.43,0,0.17,0,1.32,2.69,3.22,2.82,2.87,0,0.93,1.39,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",Urban,Male,6.26,0,6.16,2.15,0.58,16.59,15.39,11.34,7.07,1.98,1.66,0,3.29,5.52,15.54,4.07,0.54,0,1.62,0.25,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",Urban,Female,4.8,0,9.51,0,0,7.16,19.62,0,2.33,0.14,1.8,0,0,1.04,18.98,7.89,7.81,0,0,18.93,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",Urban,Persons,5.84,0,7.12,1.53,0.41,13.89,16.61,8.09,5.71,1.45,1.7,0,2.34,4.24,16.52,5.17,2.63,0,1.16,5.61,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",Rural + Urban,Male,25.64,0,3.75,1.18,0.71,21.78,10.08,9.82,3.77,0.96,0.94,0,1.59,4.85,10.02,3.09,0.37,0,1.06,0.39,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",Rural + Urban,Female,43.02,0,4.78,0,0,4.78,11.64,0,0.94,0.06,0.72,0,2.2,0.42,7.85,5.55,7.68,0,0.98,9.38,
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",Rural + Urban,Persons,31.31,0,4.09,0.79,0.48,16.24,10.59,6.62,2.85,0.66,0.87,0,1.79,3.4,9.31,3.9,2.76,0,1.03,3.32,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",Rural,Male,48.96,0.91,8.04,0.2,0.3,14.51,7.43,7.5,1.19,1.75,0.91,0.07,0.4,1.11,2.35,0.83,0.38,0.58,2.37,0.18,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",Rural,Female,67.58,0.32,10.06,0,0,6.82,4.74,0.09,1.39,1.32,0.03,0,0,0.22,2.36,1.99,1.73,0.01,0.87,0.46,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",Rural,Persons,56.32,0.68,8.84,0.12,0.18,11.47,6.37,4.57,1.27,1.58,0.56,0.04,0.24,0.76,2.36,1.29,0.91,0.36,1.78,0.29,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",Urban,Male,6.59,0.2,17.46,1.15,0.9,12.43,19.57,10.96,3,5.36,2.68,0.87,1.74,1.3,3.54,4.8,1.45,0.22,4.81,0.97,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",Urban,Female,9.37,0,23.54,0.53,0.06,5.15,14.39,0.72,4.55,4.05,1.01,0.16,1.01,2.07,5.65,10.24,8.12,0,4.03,5.36,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",Urban,Persons,7.41,0.14,19.24,0.97,0.65,10.29,18.05,7.96,3.46,4.97,2.19,0.66,1.53,1.52,4.16,6.4,3.4,0.16,4.58,2.26,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",Rural + Urban,Male,37.21,0.71,10.65,0.47,0.47,13.94,10.8,8.46,1.7,2.75,1.4,0.29,0.77,1.16,2.68,1.93,0.68,0.48,3.05,0.4,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",Rural + Urban,Female,56.17,0.26,12.71,0.1,0.01,6.49,6.63,0.22,2.01,1.85,0.22,0.03,0.2,0.58,3.01,3.61,2.98,0.01,1.49,1.42,
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",Rural + Urban,Persons,44.23,0.54,11.41,0.33,0.3,11.18,9.25,5.41,1.81,2.42,0.97,0.19,0.56,0.95,2.8,2.55,1.53,0.31,2.47,0.78,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",Rural,Male,65.43,0.15,0.5,1.5,0.32,5.17,7.57,2.44,0.04,0,0,0,0.54,0.15,7.73,6.71,0.82,0.01,0.52,0.4,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",Rural,Female,72.48,0,2.48,0.99,0.22,0.42,11.86,0.33,0.36,0,0,0,0,0,1.59,6.07,2.83,0,0,0.38,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",Rural,Persons,67.53,0.11,1.09,1.35,0.29,3.76,8.84,1.81,0.13,0,0,0,0.38,0.1,5.9,6.52,1.42,0.01,0.36,0.39,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",Urban,Male,11.48,0.16,3.94,2.25,0.11,18.31,17.19,6.12,1.86,0.99,0.7,0,1.85,1.59,19.33,8.29,3.09,0,0.52,2.22,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",Urban,Female,16.9,0,2.15,2.77,0,5.53,26.59,1.54,3.31,0.67,0,0,0,0,14.47,9.83,15.28,0,0.24,0.72,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",Urban,Persons,12.77,0.12,3.51,2.38,0.08,15.26,19.43,5.03,2.21,0.91,0.53,0,1.41,1.21,18.17,8.66,6,0,0.46,1.86,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",Rural + Urban,Male,56.85,0.15,1.05,1.62,0.29,7.26,9.1,3.03,0.33,0.16,0.11,0,0.75,0.38,9.57,6.96,1.18,0.01,0.52,0.69,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",Rural + Urban,Female,65.66,0,2.44,1.21,0.19,1.04,13.67,0.48,0.72,0.08,0,0,0,0,3.17,6.53,4.35,0,0.03,0.43,
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",Rural + Urban,Persons,59.4,0.11,1.45,1.5,0.26,5.46,10.42,2.29,0.44,0.14,0.08,0,0.53,0.27,7.72,6.84,2.1,0.01,0.38,0.61,
India,Assam,"PLFS Year (Jul - Jun), 2021",Rural,Male,40.01,0.35,7.65,0.19,0.18,16.76,16.52,5.56,1.47,0.13,0.22,0.04,0.14,1.06,0.86,3.95,0.59,0.17,1.77,2.39,
India,Assam,"PLFS Year (Jul - Jun), 2021",Rural,Female,72.94,0,11.31,0,0,0.18,4.1,0,0.81,0,0.91,0.12,0,0.26,0.29,6.56,0.67,0,0.65,1.2,
India,Assam,"PLFS Year (Jul - Jun), 2021",Rural,Persons,48.62,0.26,8.6,0.14,0.13,12.43,13.28,4.11,1.3,0.1,0.4,0.06,0.1,0.85,0.71,4.63,0.61,0.13,1.48,2.08,
India,Assam,"PLFS Year (Jul - Jun), 2021",Urban,Male,2.85,0.42,9.8,0.59,0.55,11.53,38.48,7.48,5.09,1.17,3.54,0.07,1.72,2.5,3.37,4.19,1.65,0.52,3.48,0.98,
